category,value,question,answer
BRITISH POETS & POETRY,400,"Prince Albert sent his copy of ""Idylls Of The King"" to this poet & asked him to autograph it",Alfred Lord Tennyson
BOXING MOVIES,400,"He played Elvis' trainer in ""Kid Galahad"" a ""Dirty Dozen"" years before he starred in ""Death Wish""",Charles Bronson
NATIONAL PARKS OF THE WORLD,400,This snowcapped mountain provides the backdrop for Kenya's Amboseli National Park,Mt. Kilimanjaro
"BEGINS & ENDS WITH ""T""",400,"The name of this device used to stop bleeding may come from a French word for ""turn""",Tourniquet
ROYALTY,600,"In 1599, Albert, Archduke of Austria, married the Infanta of this country",Spain
FOOD,600,Juniper is used to smoke Germany's Westphalian form of this meat,Ham
BRITISH POETS & POETRY,600,"Written in 1811, this lord's poem ""Farewell To Malta"" begins, ""Adieu, ye joys of La Valette!""",Lord Byron
BOXING MOVIES,600,"This platinum blonde was a real knockout as a prizefighter's scheming wife in the 1931 film ""Iron Man""",Jean Harlow
NATIONAL PARKS OF THE WORLD,600,One of this country's major recreational areas is Vitosha National Park near Sofia,Bulgaria
"BEGINS & ENDS WITH ""T""",600,One who plays hooky from school might find himself pursued by this type of officer,Truant officer
ROYALTY,800,This dreaded czar who died in 1584 was probably the most famous member of the Rurik dynasty,Ivan The Terrible
FOOD,800,Riz A L'Imperatrice is an elegant version of this homey dessert,Rice Pudding
BRITISH POETS & POETRY,500,"In ""I Wandered Lonely as a Cloud"", Wordsworth wrote about ""A crowd, a host of golden"" ones",daffodils
BOXING MOVIES,800,"Jack Palance starred in the TV version of this ""heavy"" Rod Serling drama; Anthony Quinn, in the film version","""Requiem For A Heavyweight"""
NATIONAL PARKS OF THE WORLD,2000,In Alberta the scenic Icefields Parkway connects Jasper National Park with this other one,Banff
"BEGINS & ENDS WITH ""T""",800,It's the period between sunset & dark when the sun is just below the horizon,Twilight
ROYALTY,1000,"After this emperor died in 14 A.D., his relatives, the Julio-Claudian dynasty, ruled until 68",Augustus
FOOD,1000,"The Bismarck type of this fish is made of fillets cured in vinegar, salt & onions",Herring
BRITISH POETS & POETRY,1000,"He called ""Prometheus Unbound"" ""The best thing I ever wrote""",Percy B. Shelley
BOXING MOVIES,1000,"Based on Clifford Odets' play, this ""colorful"" 1939 film made William Holden a star",Golden Boy
NATIONAL PARKS OF THE WORLD,1000,Argentina & Brazil have national parks to preserve the wildlife & beauty of these extensive waterfalls,Iguazu Falls
"BEGINS & ENDS WITH ""T""",1000,"The Roman god Jupiter used this weather phenomenon as a weapon, by jove",Thunderbolt
SONGS,100,"""Every time it rains, it rains"" these",Pennies From Heaven
TAKE ME OUT TO THE BALLGAME,100,In 1968 the Kansas City A's moved to this city,Oakland
HE'S A REBEL,100,"This general was known in the South as ""Uncle Robert""",Robert E. Lee
OMAN,100,It's the principle natural resource of Oman,oil
THE RANGE,100,"Running from Cape Horn almost to Panama, it splits into 3 ranges in Colombia",the Andes
PEOPLE,100,"According to Forbes Magazine, this talk show host is on her way to becoming America's first black billionaire",Oprah Winfrey
SONGS,200,"Madonna's 1990 music video for ""Justify"" this went multi-platinum","""My Love"""
TAKE ME OUT TO THE BALLGAME,200,This pitcher hurled the first of his record 7 no-hitters in 1973 & his last 18 years later,Nolan Ryan
HE'S A REBEL,200,On Nov. 6 1861 he was elected to a 6-year term as President of the Confederacy,Jefferson Davis
OMAN,200,Oman waspart of the international force that defeated this country in the 1991 Persian Gulf War,Iraq
THE RANGE,200,9 of the world's 14 tallest peaks are in Nepal as part of this mountain system,the Himalayas
PEOPLE,200,In March 1996 a Johannesburg judge pronounced their 38-year marriage officially over,the Mandelas
SONGS,300,"Johnny Cash's 1963 hit ""Ring of Fire"" was co-written by this woman, his future wife",June Carter
TAKE ME OUT TO THE BALLGAME,300,"In 1941 this outfielder had a 56-game hitting streak, a Major League record",Joe DiMaggio
HE'S A REBEL,300,"On the night of April 14, 1865, he met co-conspirator David Herold in Maryland",John Wilkes Booth
OMAN,300,"A section of Oman, separated from the rest of the country by the UAE, juts into this important strait",the Strait of Hormuz
THE RANGE,300,Isolated range of the Rockies that shares its name with a sheep,the Big Horn (Mountains)
PEOPLE,300,"In 1995 Jordan's King Hussein eulogized this slain Israeli PM as ""a brother, a colleague and a friend""",(Yitzhak) Rabin
SONGS,400,"The title song in an Elvis film, it was written for the 1937 Bing Crosby film ""Waikiki Wedding""",Blue Hawaii
TAKE ME OUT TO THE BALLGAME,400,"Inn 1993 this player ""Mr. October"", was elected to the Hall of Fame in his first year of eligibility",Reggie Jackson
HE'S A REBEL,400,"17 years before his famous ""Charge"" at Gettysburg, he graduated last in his class at West Point",(George) Pickett
OMAN,400,"With no constitution or legislature, Oman is governed by a ruler with this title",the Sultan of Oman
THE RANGE,1000,Continent on which youd find the Mesabi Range,North America
PEOPLE,400,1995 DNA tests confirmed that a body exhumed in Missouri probably was this notorious outlaw,Jesse James
SONGS,500,In 1992 Mariah Carey took a cover version of this biggest Jackson 5 hit to No. 1 on the charts,I'll Be There
TAKE ME OUT TO THE BALLGAME,500,"This Boston Red Sox player won back-to-back titles 3 times: 1941 & '42, 1947 & '48, & 1957 & '58",Ted Williams
HE'S A REBEL,500,"James Buchanan's Vice President, he became a Confederate general in 1861",John C. Breckinridge
OMAN,500,"This, the capital city, was formerly paired with Oman in the country's name",Muscat
THE RANGE,500,"3000' above sea level, a famous ""Parkway"" extends 450 miles in this Virginia- North Carolina range",the Blue Ridge Parkway
PEOPLE,500,"Anchor of the ""NBC Nightly News"" 1970-1982, he passed away in 1996",John Chancellor
IMMIGRANTS,200,"In 1953 this ""Nightline"" host moved with his family from England to the U.S.",Ted Koppel
BODIES OF WATER,200,"Several structures called London Bridge have spanned this river, the latest completed in 1972",the Thames
SAINTS,200,"Saint Ephraem the Syrian was deeply devoted to this woman, the mother of Jesus",Mary
ODD WORDS,200,In printing a kern is part of a letter that extends beyond its body; it can turn an O into this letter,a Q
GOVERNMENT & POLITICS,200,The Office of Space Flight is a division of this U.S. agency,NASA
AUTHORS,200,"In 1972 he founded the Kinte Foundation, a clearing house for black genealogy",(Alex) Haley
IMMIGRANTS,400,Mother Cabrini came to the U.S. to work among immigrants from this country,Italy
BODIES OF WATER,400,"Kentucky's lowest point, 25",the Mississippi
SAINTS,400,He's the Patron of Aragon & Portugal as well as of England,George
ODD WORDS,400,"Pavonine means of or resembling this ""proud"" bird",a peacock
GOVERNMENT & POLITICS,400,"Postage stamps are printed by the Bureau of Engraving & Printing, a division of this cabinet dept.",the Treasury
AUTHORS,400,"In 1991 the U. of Alabama awarded this ""To Kill A Mockingbird"" author an honorary Doctor of Letters degree",Harper Lee
IMMIGRANTS,600,Jean Lafitte immigrated to this city around 1806; he defended it from the British in the War of 1812,New Orleans
BODIES OF WATER,600,Sumatra & the Malay Peninsula are 2 of the land areas dividing the Pacific Ocean from this ocean,the Indian Ocean
SAINTS,600,Saint Cunegund is the Patroness of this European Grand Duchy of which she was a princess,Luxembourg
ODD WORDS,600,"It means to open or spread out, as a flag",unfurl
GOVERNMENT & POLITICS,600,"In January 1949 this Secretary of State known for his post-WWII ""Plan"" resigned for health reasons",(George) Marshall
AUTHORS,600,This creator of Father Brown converted to Roman Catholicism in 1922,G.K. Chesterton
IMMIGRANTS,800,"A pupil of Antoine Lavoisier, his gunpowder mill was the largest in the U.S. at the time of his death",Du Pont
BODIES OF WATER,800,"Shallow, saline Lake Eyre is this continent's lowest point",Australia
SAINTS,800,"This saint is the subject of the play & movie ""A Man For All Seasons""",Thomas More
ODD WORDS,1000,"From the Latin word for blood, it means blood-colored or cheerfully optimistic",sanguine
GOVERNMENT & POLITICS,800,"Some regulations of this agency, OSHA, deal with fire prevention & safe levels of exposure to asbestos",the Occupational Safety & Health Administration
AUTHORS,800,"In addition to writing, this ""Tom Jones"" author was also a justice of the peace",(Henry) Fielding
IMMIGRANTS,1000,This man who organized NBC was born in Minsk in what's now Belarus,Sarnoff
BODIES OF WATER,1000,Nizhneangarsk & Listvyanka are ports on this Siberian lake,Lake Baikal
SAINTS,1000,At age 40 this saint of Avila has a transforming vision of heaven & hell,Saint Teresa of Ávila
ODD WORDS,1000,An adit is a passageway into one of these & a winze is a shaft from one level to another,a mine
GOVERNMENT & POLITICS,2000,"This 1996 presidential candidate was Tennessee Gov. 1979-1987, longer than any other Republican",(Lamar) Alexander
AUTHORS,1000,"This author of ""Acceptable Risk"" has been dubbed ""The Master of the Medical Thriller""",Robin Cook
THE 1990S,100,"On Nov. 20, 1994 he beatified 5 individuals, including Franciscan sculptor Claudio Granzotto",Pope John Paul II
SINGERS WHO ACT,100,"This Jackson made her film debut in 1993 as a poetry-writing beautician in John Singleton's ""Poetic Justice""",Janet Jackson
ANNUAL EVENTS,100,The Queen Liliuokalani Canoe Races take place on Labor Day weekend in this state,Hawaii
METALS,100,South Africa is the world's leading supplier of this precious metal,Gold
HINTS FROM HELOISE,100,Diners on a diet can substitute yogurt or cottage cheese for this sour dairy product,Sour Cream
IF YOU CAN'T SAY SOMETHING NICE,100,"On April 4, 1940 Neville Chamberlain said that this dictator had ""missed the bus""",Adolf Hitler
THE 1990S,200,"In 1996 Tomiichi Murayama, this country's first Socialist premier since 1948, resigned",Japan
SINGERS WHO ACT,200,"Part of this ""Material Girl""'s film ""Dangerous Game"" was shot near our former ""Jeopardy!"" offices",Madonna
ANNUAL EVENTS,200,The Freeze Yer Gizzard Blizzard Run is part of Ice Box Days in International Falls in this state,Minnesota
METALS,200,A ferroalloy always contains this metal,Iron
HINTS FROM HELOISE,200,Rub this part of a pencil on an emery board so it won't cause smudges on your paper,Eraser
IF YOU CAN'T SAY SOMETHING NICE,200,"Margot Asquith said of Lloyd George, ""He could not see"" one of these ""without hitting below it""",Belt
THE 1990S,300,He ended a 35-year military career in 1993 by resigning as chairman of the Joint Chiefs of Staff,Colin Powell
SINGERS WHO ACT,300,"He married Julia Roberts after they appeared in Robert Altman's film ""The Player""",Lyle Lovett
ANNUAL EVENTS,500,Milwaukee's yearly Lakefront Festival of the Arts takes place at the War Memorial Center on this lake,Lake Michigan
METALS,300,This liquid metal is added to paints to make them mildew proof,Mercury
HINTS FROM HELOISE,300,Use these washday items to hold sheet music or to clamp coupons to your pocket while shopping,Clothespins
IF YOU CAN'T SAY SOMETHING NICE,300,"Bartletts quotes this comedian:  ""I never forget a face, but in your case I'll make an exception""",Groucho Marx
THE 1990S,400,"More than 300 Republican candidates signed this document September 27, 1994",Contract With America
SINGERS WHO ACT,400,"Reba McEntire made her TV acting debut as his leading lady in ""The Gambler Returns:  The Luck of the Draw""",Kenny Rogers
METALS,400,They're the 2 main metals found in brass,Copper & Zinc
HINTS FROM HELOISE,400,Cover ripening ears of this with used beverage cans to keep birds from eating them,Corn
IF YOU CAN'T SAY SOMETHING NICE,400,"""I can sometimes deal with men as equals and therefore can afford to like them"", she wrote in Ms.",Gloria Steinem
THE 1990S,500,"In December 1995 2 of this country's former presidents, Chun Doo Hwan & Roh Tae Woo, were indicted",South Korea
SINGERS WHO ACT,500,"In a 1992 film this curvaceous country singer gave James Woods some ""Straight Talk""",Dolly Parton
METALS,500,"In 1795 Martin Klaproth named this metal, now used in the aerospace industry, for its strength",Titanium
HINTS FROM HELOISE,500,You can use this oral hygiene product to string beads or clean faucets,Dental Floss
IF YOU CAN'T SAY SOMETHING NICE,500,"Simon Cameron said ""An honest"" one of these ""is one who, when he is bought, will stay bought""",Politician
BLACK AMERICANS,200,"At 6' 5"" this former Phoenix Suns player is the shortest ever to lead the NBA in rebounding",Charles Barkley
OPERA CHARACTERS,200,"In this Verdi opera, the king of Ethiopia is a baritone role while the king of Egypt is a bass","""Aida"""
PARKS,200,"The Auteuil & Longchamp racecourses lie in the Bois de Boulogne, a well-known park in this capital",Paris
EUROPEAN HISTORY,200,"This leader of the Reformation was born in Eisleben, Saxony November 10, 1483",Martin Luther
CONTEMPORARY AUTHORS,200,"Dorothy Livesay, a native of this North American country, won the Governor General's Award for poetry twice",Canada
BLACK AMERICANS,400,In 1963 this future mayor became the first black politician to win a seat on the L.A. city council,Tom Bradley
OPERA CHARACTERS,400,Her uncle The Bonze curses her for renouncing her religion to marry Lt. B.F. Pinkerton,Madame Butterfly
PARKS,400,Acadia National Park in this state is the easternmost national park in the continental U.S.,Maine
EUROPEAN HISTORY,400,Czars Nicholas I & Nicholas II married German princesses who used this first name as empress,Alexandra
CONTEMPORARY AUTHORS,400,"Anne Tyler entered this Durham, N.C. univ. at 16 & later became its library's Russian bibliographer",Duke University
